epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2521,1.82279,3.26966,1.39393,0.02991,0.20079,0.11949,0.06691,1.54366,3.46762,1.17684,0.000252773,0.000252773,0.000252773
2,76.3225,1.62945,1.70846,1.2934,0.65408,0.38199,0.44813,0.24832,1.54832,1.26044,1.27538,0.000499026,0.000499026,0.000499026
3,113.162,1.5477,1.33352,1.25715,0.47686,0.53166,0.54593,0.31761,1.54345,1.21466,1.28087,0.000735128,0.000735128,0.000735128
4,146.125,1.46045,1.19805,1.21414,0.54193,0.66291,0.62131,0.34055,1.47748,1.09634,1.25683,0.000723321,0.000723321,0.000723321
5,178.276,1.40725,1.10263,1.18889,0.61593,0.6062,0.64267,0.3649,1.3691,1.06559,1.21293,0.000708095,0.000708095,0.000708095
6,210.21,1.34765,1.0346,1.16409,0.72137,0.68828,0.70151,0.40591,1.34697,1.01664,1.21249,0.000692869,0.000692869,0.000692869
7,254.899,1.31536,0.97903,1.13597,0.69777,0.60177,0.66615,0.39884,1.34446,1.05378,1.18311,0.000677643,0.000677643,0.000677643
8,291.318,1.28312,0.94142,1.11968,0.67353,0.74116,0.71546,0.42355,1.33584,0.97965,1.16858,0.000662417,0.000662417,0.000662417
9,327.487,1.24648,0.90812,1.10994,0.71348,0.62153,0.69933,0.41822,1.39426,1.02945,1.22329,0.00064719,0.00064719,0.00064719
10,365.037,1.24109,0.88649,1.09901,0.67093,0.66738,0.70364,0.41153,1.45679,0.99567,1.22412,0.000631964,0.000631964,0.000631964
11,404.212,1.2076,0.85115,1.07434,0.71459,0.70857,0.73471,0.45831,1.29943,0.97142,1.11984,0.000616738,0.000616738,0.000616738
12,441.38,1.18763,0.83714,1.06885,0.74051,0.70902,0.74689,0.45142,1.324,0.92975,1.13673,0.000601512,0.000601512,0.000601512
