epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9926,1.81608,3.28708,1.24802,0.0224,0.19207,0.10241,0.03812,1.67111,3.49749,1.09087,0.000252773,0.000252773,0.000252773
2,73.649,1.60454,1.77958,1.13739,0.55827,0.45017,0.44275,0.23819,1.62756,1.48545,1.1654,0.000499026,0.000499026,0.000499026
3,106.779,1.54345,1.32329,1.16472,0.6376,0.58119,0.62428,0.35874,1.32112,1.11743,1.11591,0.000735128,0.000735128,0.000735128
4,138.746,1.42734,1.12551,1.12557,0.62885,0.57575,0.65409,0.3251,1.41761,1.01655,1.14589,0.000723321,0.000723321,0.000723321
5,171.801,1.37183,1.02504,1.11032,0.70528,0.56022,0.68115,0.39196,1.35836,0.99315,1.13696,0.000708095,0.000708095,0.000708095
6,206.337,1.34501,0.9709,1.09483,0.69701,0.74798,0.73317,0.43222,1.33086,0.90583,1.10338,0.000692869,0.000692869,0.000692869
7,242.548,1.34541,0.94042,1.10091,0.71788,0.7292,0.72497,0.44454,1.33919,0.93426,1.08016,0.000677643,0.000677643,0.000677643
8,277.008,1.2706,0.88887,1.06358,0.72495,0.74609,0.74984,0.47097,1.32133,0.91383,1.09338,0.000662417,0.000662417,0.000662417
9,310.834,1.25212,0.85851,1.06518,0.79775,0.70411,0.76448,0.42406,1.38997,0.92253,1.11871,0.00064719,0.00064719,0.00064719
10,344.281,1.22164,0.82863,1.04834,0.74538,0.74341,0.76505,0.45383,1.36422,0.92548,1.11993,0.000631964,0.000631964,0.000631964
11,377.526,1.21669,0.80684,1.04143,0.76072,0.77429,0.76779,0.49001,1.40456,0.85882,1.09662,0.000616738,0.000616738,0.000616738
12,409.525,1.17119,0.77581,1.02996,0.79146,0.74116,0.78606,0.50686,1.25561,0.837,1.08779,0.000601512,0.000601512,0.000601512
13,444.896,1.16099,0.74943,1.02524,0.76125,0.75459,0.77799,0.45427,1.30194,0.81201,1.07929,0.000586286,0.000586286,0.000586286
14,484.02,1.14486,0.7397,1.02246,0.79707,0.77039,0.79443,0.4847,1.26144,0.79188,1.06727,0.000571059,0.000571059,0.000571059
15,567.779,1.15629,0.73169,1.01712,0.7743,0.78088,0.79469,0.4835,1.23068,0.80687,1.06158,0.000555833,0.000555833,0.000555833
16,648.077,1.11837,0.70823,1.00583,0.85521,0.76991,0.81791,0.50905,1.34876,0.8069,1.10052,0.000540607,0.000540607,0.000540607
17,729.514,1.10634,0.69048,1.00341,0.7861,0.75976,0.8046,0.51012,1.30683,0.83376,1.08416,0.000525381,0.000525381,0.000525381
18,813.621,1.09476,0.68007,0.99591,0.80114,0.76981,0.78927,0.51072,1.23433,0.79043,1.08624,0.000510155,0.000510155,0.000510155
19,897.056,1.06633,0.66291,0.98382,0.82373,0.76495,0.80793,0.51777,1.29526,0.80291,1.09139,0.000494928,0.000494928,0.000494928
20,980.584,1.05411,0.65273,0.9809,0.85523,0.76086,0.80612,0.50374,1.23984,0.76411,1.08267,0.000479702,0.000479702,0.000479702
21,1063.54,1.04954,0.64147,0.97761,0.8481,0.79753,0.84624,0.55351,1.26568,0.75317,1.06858,0.000464476,0.000464476,0.000464476
22,1146.09,1.03653,0.63727,0.97452,0.81831,0.81699,0.82405,0.54139,1.21904,0.74974,1.06201,0.00044925,0.00044925,0.00044925
23,1229.06,1.01279,0.61937,0.97088,0.81386,0.82422,0.82696,0.53127,1.26046,0.75284,1.08241,0.000434024,0.000434024,0.000434024
24,1279.04,1.01037,0.61185,0.96279,0.84204,0.80992,0.8427,0.52314,1.26691,0.7438,1.08986,0.000418797,0.000418797,0.000418797
25,1362.1,0.99271,0.60454,0.96047,0.83919,0.79567,0.83966,0.53525,1.25065,0.74988,1.07331,0.000403571,0.000403571,0.000403571
26,1449.09,1.01378,0.6063,0.96749,0.82175,0.79322,0.81473,0.51361,1.2499,0.74659,1.09249,0.000388345,0.000388345,0.000388345
27,1531.87,0.9898,0.58899,0.95657,0.85249,0.78602,0.82524,0.52675,1.23026,0.74361,1.08299,0.000373119,0.000373119,0.000373119
28,1615.3,0.96049,0.57869,0.94744,0.86158,0.78666,0.83111,0.53322,1.21696,0.73404,1.07154,0.000357893,0.000357893,0.000357893
29,1696.23,0.96659,0.58075,0.95008,0.8702,0.78961,0.82846,0.5368,1.22496,0.74243,1.07452,0.000342666,0.000342666,0.000342666
30,1777.89,0.95465,0.57484,0.94772,0.83799,0.7793,0.81584,0.53224,1.25671,0.73792,1.09731,0.00032744,0.00032744,0.00032744
31,1857.78,0.97595,0.57302,0.94612,0.84239,0.80952,0.82754,0.53909,1.23627,0.71218,1.07234,0.000312214,0.000312214,0.000312214
32,1938.2,0.94873,0.55989,0.94254,0.86042,0.77749,0.8152,0.52093,1.35722,0.78531,1.13969,0.000296988,0.000296988,0.000296988
33,1976.68,0.91722,0.54771,0.93302,0.86576,0.80091,0.83192,0.5446,1.22881,0.72077,1.08577,0.000281762,0.000281762,0.000281762
34,2012.01,0.89878,0.54051,0.92872,0.84634,0.78104,0.81157,0.52815,1.25238,0.71548,1.1126,0.000266535,0.000266535,0.000266535
35,2045.79,0.94069,0.55229,0.93686,0.82802,0.80981,0.83569,0.55547,1.20647,0.72308,1.09682,0.000251309,0.000251309,0.000251309
36,2077.94,0.88689,0.53072,0.92419,0.84572,0.8239,0.84159,0.56565,1.21885,0.70979,1.08824,0.000236083,0.000236083,0.000236083
37,2110.72,0.88678,0.52929,0.92384,0.8539,0.79496,0.83117,0.55401,1.19729,0.71438,1.08621,0.000220857,0.000220857,0.000220857
38,2143.07,0.88937,0.52756,0.92426,0.86632,0.80269,0.83207,0.5537,1.19459,0.71192,1.07949,0.000205631,0.000205631,0.000205631
39,2175.29,0.8709,0.52388,0.91869,0.86147,0.79898,0.82313,0.54945,1.18564,0.71274,1.06864,0.000190404,0.000190404,0.000190404
40,2208.74,0.86583,0.51564,0.91327,0.87338,0.80151,0.81972,0.53804,1.20068,0.71486,1.07935,0.000175178,0.000175178,0.000175178
41,2239.09,0.83141,0.49928,0.89888,0.85891,0.79915,0.8246,0.54019,1.22383,0.72767,1.09179,0.000159952,0.000159952,0.000159952
42,2268.97,0.78351,0.46399,0.88276,0.87919,0.75335,0.81068,0.52934,1.22641,0.7264,1.09461,0.000144726,0.000144726,0.000144726
43,2298.62,0.76334,0.45303,0.88065,0.83673,0.82033,0.81364,0.52707,1.23459,0.72312,1.09895,0.0001295,0.0001295,0.0001295
44,2328.69,0.75668,0.44802,0.87472,0.86517,0.80215,0.82314,0.53179,1.26388,0.71594,1.1094,0.000114273,0.000114273,0.000114273
45,2358.51,0.74408,0.442,0.87045,0.84896,0.81372,0.82155,0.52989,1.23614,0.705,1.09591,9.90472e-05,9.90472e-05,9.90472e-05
46,2388.39,0.7355,0.43953,0.87029,0.87422,0.78706,0.82066,0.53931,1.23656,0.70646,1.10147,8.3821e-05,8.3821e-05,8.3821e-05
47,2419.08,0.72701,0.43311,0.86364,0.83937,0.78974,0.81453,0.53181,1.21655,0.71199,1.0868,6.85948e-05,6.85948e-05,6.85948e-05
48,2449.45,0.71807,0.42816,0.86149,0.84482,0.80479,0.81574,0.53633,1.22459,0.70506,1.0941,5.33686e-05,5.33686e-05,5.33686e-05
49,2480.51,0.69756,0.42047,0.85742,0.82896,0.80058,0.81512,0.53574,1.22501,0.70125,1.09645,3.81424e-05,3.81424e-05,3.81424e-05
50,2510.57,0.70465,0.4232,0.8592,0.83101,0.80388,0.81662,0.53939,1.21551,0.70002,1.09068,2.29162e-05,2.29162e-05,2.29162e-05
